timestamp,hr,rmssd,scl,stress_prob,prediction
2026-02-21 12:24:21.283627,105,42.0,5.0,68.51599265173874,2
2026-02-21 12:24:46.484854,58,42.0,5.0,25.530392156862742,0
2026-02-21 12:25:18.803290,75,42.0,5.0,30.6,0
2026-02-23 20:48:56.576145,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-23 20:49:04.580242,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 12:45:00.512269,75,42.0,5.0,53.64661443474768,1
2026-02-26 17:31:38.089009,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 17:32:34.742172,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 17:32:47.447902,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 17:44:21.106073,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-26 18:04:53.417737,109,42.0,9.541666666666666,68.51599265173873,2
2026-02-27 00:32:41.004022,154,12.5,30.9,68.51599265173873,2
2026-02-27 00:32:53.854708,100,137.5,19.9,72.9302520695299,2
2026-02-27 00:33:07.581093,100,150.0,5.5,72.93025206952989,2
2026-02-27 00:39:44.960770,82,150.0,5.5,63.00387469016309,2
2026-02-27 00:39:52.244264,82,127.5,3.2,63.00387469016309,2
2026-02-27 00:39:57.996317,82,86.5,3.2,63.00387469016309,2
2026-02-27 00:39:58.910496,82,86.5,3.2,63.00387469016309,2
2026-02-27 00:40:03.128564,82,61.0,3.2,63.00387469016309,2
2026-02-27 00:40:06.288498,82,47.0,3.2,63.00387469016309,2
2026-02-27 00:46:52.746048,82,47.0,3.2,63.00387469016309,1
2026-02-27 00:47:01.933162,73,47.0,3.2,62.719775801727096,1
2026-02-27 00:47:11.958490,73,29.5,2.2,62.719775801727096,1
2026-02-27 00:49:13.192442,75,42.0,5.0,53.64661443474768,1
2026-02-27 00:49:39.788451,75,24.5,1.7,53.64661443474768,1
2026-02-27 00:52:20.538356,75,78.0,1.7,53.64661443474768,1
2026-02-27 00:52:26.689995,75,60.5,1.7,53.64661443474768,1
2026-02-27 00:52:32.737943,75,138.5,1.7,53.64661443474768,1
2026-02-27 00:54:39.651277,68,79.0,1.7,71.00033135728265,2
2026-02-27 01:00:32.618953,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:00:44.090827,65,77.0,1.5,70.08128373823503,2
2026-02-27 01:02:53.688429,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:05:17.405170,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:11:06.170992,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:11:10.079085,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:11:35.177154,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:11:35.429822,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:22:24.473947,75,42.0,5.0,53.64661443474768,1
2026-02-27 01:23:56.665732,64,65.5,1.4,60.365108789994856,1
2026-02-27 01:32:46.115274,64,65.5,1.4,60.365108789994856,1
2026-02-27 01:32:49.880487,64,65.5,1.4,60.365108789994856,1
